username,userid,profile_location,created_at,text,retweet_count,source,coordinates
FOX29WFLX,18941920,"West Palm Beach, FL",2023-01-18 21:32:18,"DeSantis said he's seeking to protect Florida from what he calls the ""biomedical security state,"" denouncing groups… https://t.co/jpWQ09UKyG",1,SocialNewsDesk,
Kevin C. Harris,1440059657100292097,Miami Gardens,2023-01-18 21:05:51,The fReE sTaTe Of FlOrIda sure bans a lot of things from books to bodily autonomy 🤔 There are no standing Covid man… https://t.co/0hn7tTmYhH,0,Twitter for iPhone,
Trump'sConscience,18112397,MIA,2023-01-18 18:59:34,@GizGnote Interesting. I was cautiously pro-vaccine prior to the COVID19 mandates. I’m now very much against vaccin… https://t.co/xM3iRqffy4,0,Twitter for iPhone,
@JareBare69,916048232853262336,"Miami, FL",2023-01-18 18:58:07,"So who will be moving to FL in 2023? Send all your sick, underpaid unqualified to FL!
Florida Gov. Ron DeSantis see… https://t.co/JP5U1WqBwB",0,Twitter for iPad,
The Palm Beach Post,15736836,"West Palm Beach, FL",2023-01-18 18:21:02,"Florida Gov. Ron DeSantis seeks permanent ban on mandates for masks, COVID-19 vaccines https://t.co/HlZ7Eh9YXb",4,SocialNewsDesk,
Palm Beach Daily News,27041654,"Palm Beach, FL",2023-01-18 16:52:02,"DeSantis to push for permanent ban on Florida mandates for masks, vaccines https://t.co/fYQs7YFNhZ",0,SocialNewsDesk,
Chris Nelson 🇺🇸 🏝,1855624532,"Fort Lauderdale, FL",2023-01-18 16:29:22,"READ! @GovRonDeSantis  Announces Initiative to make Protections from COVID Mandates Permanent, Enact New Protection… https://t.co/eSxTiHtYJr",1,Twitter Web App,
Daniel St.Pierre 📖 🕊 🛩 👨‍🌾 🏖 🎣 🇨🇦,86590910,"Lighthouse Point, FL",2023-01-18 03:50:29,"DeSantis calls out 'biomedical security state,' seeks to permanently ban mandates on COVID-19 vaccine, masks… https://t.co/01T84fnPnw",0,IFTTT,
Catherine Phung,17285562,"Cutler Bay, FL",2023-01-18 03:11:18,"DeSantis calls out 'biomedical security state,' seeks to permanently ban mandates on COVID-19 vaccine, masks… https://t.co/QwPaQFaKz1",0,Twitter for iPad,
Trump'sConscience,18112397,MIA,2023-01-18 02:07:56,@healthbyjames I was cautiously pro-vaccine prior to the COVID vaccine grift. Now I don’t trust anything government mandates.,0,Twitter for iPhone,
Enigmatic America,1518679655976517639,"Miami, FL",2023-01-18 01:52:10,"DeSantis aims to expand COVID-19 mask, vaccine protections in Florida
Dylan Abad
Thank you @RonDeSantisFL for keepi… https://t.co/Ivvgt2nBT1",1,Twitter for Android,
Sandra Del Tiempo 🌻,27060476,"Wellington, FL",2023-01-18 00:20:17,#DeSantis wants his ban on #COVID vaccine and mask mandates made permanent – he’s dangerous - His push comes as Flo… https://t.co/HeN0oKnp8m,0,Twitter for iPad,
Scott Travis,16351765,"Delray Beach, FL",2023-01-17 23:41:55,DeSantis wants his ban on COVID vaccine and mask mandates made permanent https://t.co/H7zmtqT4yy,0,Twitter for iPhone,
The Palm Beach Post,15736836,"West Palm Beach, FL",2023-01-17 23:01:02,"DeSantis to push for permanent ban on Florida mandates for masks, vaccines https://t.co/uJQU3iAV6V",0,SocialNewsDesk,
Alanna O. Mersinger,2159700409,"Miramar, Florida",2023-01-17 22:39:25,DeSantis wants his ban of COVID vaccine and mask mandates made permanent.                                He doesn’t… https://t.co/DyQ1VBZAje,0,Twitter for iPhone,
©72,28501790,West Palm Beach~ATL~DMV,2023-01-17 22:06:08,"DeathSantis seeks to permanently ban COVID-19 vaccine, mask mandates https://t.co/AqUz79qsKB",0,Twitter for iPhone,
Marla Fernandez for HD3,1478156389176553472,"Miami, FL",2023-01-17 18:38:49,Where is the press today on the injustice of children born alive killed by abortion? Where is the press today on th… https://t.co/nw1jsacE1Q,1,Twitter for iPhone,
Chris Nelson 🇺🇸 🏝,1855624532,"Fort Lauderdale, FL",2023-01-17 15:57:48,This petition was delivered to the Governor and his cabinet opposing the appointment of David Kerner. It is filled… https://t.co/Pye8qgUwSe,0,Twitter for iPhone,
Dave Weisberger,1324439080004931586,Miami,2023-01-17 13:24:00,"@TheStalwart Many theories, previously dismissed or censored have become mainstream:

- Covid originated in a lab
-… https://t.co/Dl0TxLU90W",0,Twitter for iPhone,
